"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","confidence","Degree","Eccentricity","IsSingleNode","kingdom","name","NeighborhoodConnectivity","Node_Status","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","taxonomy","TopologicalCoefficient"
"878","5.04048583","0.01601342","0.19839357","0.0","0.999941128","4","9","false","Fungi","0a5062be882ceda47439aa22501d9408","3.0","Clustered","4","0",,,"0","0.59595142","false","0","0a5062be882ceda47439aa22501d9408","1770","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Dichotomopilus;s__Dichotomopilus_indicus","0.25"
"156","6.09311741","0.00118965","0.1641196","0.0","0.990182278","2","9","false","Bacteria","8c41d07c7442f8b99b84f3946d62dce9","2.5","Clustered","2","0",,,"0","0.49068826","false","0","8c41d07c7442f8b99b84f3946d62dce9","140","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__","0.5"
"158","5.91902834","0.0022844","0.16894665","0.0","0.992795577","2","9","false","Bacteria","d6c6a7a481a4bcb320f69f6627344e3a","3.0","Clustered","2","0",,,"0","0.50809717","false","0","d6c6a7a481a4bcb320f69f6627344e3a","274","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__","0.5"
"159","4.92712551","0.02718974","0.20295809","0.0","0.99996539","5","9","false","Bacteria","103b93132e9e80eda683f108041cedd5","3.0","Clustered","5","0",,,"0","0.60728745","false","0","103b93132e9e80eda683f108041cedd5","3206","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.2"
"1046","5.27125506","0.01915276","0.18970814","0.0","0.999999866","4","8","false","Fungi","f914edec5acf3d2e115e2f8e8c0c43eb","2.75","Clustered","4","0",,,"0","0.57287449","false","0","f914edec5acf3d2e115e2f8e8c0c43eb","1882","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Mycothermus;s__Mycothermus_thermophilus","0.25"
"160","5.68825911","0.00428036","0.17580071","0.0","0.999999219","2","9","false","Bacteria","c90b5d56d4ff2ac6b42af33c4c848c0b","3.0","Clustered","2","0",,,"0","0.53117409","false","0","c90b5d56d4ff2ac6b42af33c4c848c0b","420","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__","0.5"
"161","5.90283401","0.00284247","0.16941015","0.0","0.99999947","2","9","false","Bacteria","6b5d866db05ec229e1124c77d408926d","3.0","Clustered","2","0",,,"0","0.5097166","false","0","6b5d866db05ec229e1124c77d408926d","264","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__","0.5"
"859","4.53441296","0.03968124","0.22053571","0.1","0.740969578","5","7","false","Fungi","8d571d47a349f3101f1ca596b385b11a","4.0","Clustered","5","0",,,"0","0.6465587","false","0","8d571d47a349f3101f1ca596b385b11a","4466","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;s__Psathyrella_sacchariolens","0.22666667"
"851","5.6437247","0.00347956","0.17718795","0.0","0.896986729","2","9","false","Fungi","378b7df604d470bcb01e45f62ca645b5","3.5","Clustered","2","0",,,"0","0.53562753","false","0","378b7df604d470bcb01e45f62ca645b5","382","k__Fungi","0.5"
"163","5.72064777","0.00870426","0.17480538","0.0","0.999778095","3","8","false","Bacteria","8af2312c3c3f8b911d884d1aaeaeda24","3.0","Clustered","3","0",,,"0","0.52793522","false","0","8af2312c3c3f8b911d884d1aaeaeda24","1094","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales","0.4"
"165","5.11336032","0.0221917","0.19556611","0.0","0.999773376","4","8","false","Bacteria","743b8d235ac41c603b7bde91da7b9d7c","3.5","Clustered","4","0",,,"0","0.58866397","false","0","743b8d235ac41c603b7bde91da7b9d7c","2612","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales","0.27777778"
"1047","5.61538462","0.00980747","0.17808219","0.0","0.977957454","3","9","false","Fungi","efb1ca5fce5e1f1032c2cd96fe6dc238","3.0","Clustered","3","0",,,"0","0.53846154","false","0","efb1ca5fce5e1f1032c2cd96fe6dc238","1190","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__unidentified","0.33333333"
"166","5.26720648","0.01240099","0.18985396","0.16666667","0.999999977","4","8","false","Bacteria","51c66524f80c72facce3ad05caf32c8b","3.25","Clustered","4","0",,,"0","0.57327935","false","0","51c66524f80c72facce3ad05caf32c8b","1568","k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__","0.30555556"
"167","5.15789474","0.01713592","0.19387755","0.0","0.999994073","3","8","false","Bacteria","101b05a3c78ff7040489bd8166f056e5","4.33333333","Clustered","3","0",,,"0","0.58421053","false","0","101b05a3c78ff7040489bd8166f056e5","2026","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","0.33333333"
