SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
851,4.83157895,0.02320073,0.20697168,0.16666667,0.896986729,4,9,FALSE,Fungi,378b7df604d470bcb01e45f62ca645b5,4,Clustered,4,0.68070175,FALSE,0,378b7df604d470bcb01e45f62ca645b5,1486,k__Fungi,0.29166667
1020,4.7,0.02698977,0.21276596,0,0.99671204,4,9,FALSE,Fungi,8b5e02e9cfe8c8adc32806a4fba2125b,3.75,Clustered,4,0.69166667,FALSE,0,8b5e02e9cfe8c8adc32806a4fba2125b,1998,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__unidentified;s__unidentified,0.25
1040,5.05263158,0.02988722,0.19791667,0.16666667,0.996616277,4,9,FALSE,Fungi,95f348d6d1be674bd18a91617ace41a1,4.25,Clustered,4,0.6622807,FALSE,0,95f348d6d1be674bd18a91617ace41a1,1728,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,0.28846154
460,4.41578947,0.02997651,0.22646007,0,0.792119396,4,8,FALSE,Bacteria,2767bbc065ade346b30518f073dd0d09,4.5,,4,0.71535088,FALSE,0,2767bbc065ade346b30518f073dd0d09,2394,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__,0.26923077
185,4.51578947,0.04896288,0.22144522,0,0.999999998,4,7,FALSE,Bacteria,687e88147b8464f687fa834354290451,3.5,Clustered,4,0.70701754,FALSE,0,687e88147b8464f687fa834354290451,2974,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__; g__; s__,0.25
108,4.57368421,0.04098925,0.21864212,0,0.999780944,4,8,FALSE,Bacteria,5ea833a573041227c30e980d332993c5,3.25,Clustered,4,0.70219298,FALSE,0,5ea833a573041227c30e980d332993c5,2260,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,0.25
157,5.03684211,0.01021677,0.1985371,0.33333333,0.999972883,4,9,FALSE,Bacteria,29fed5df516c8cc02c8cd7a17704d5a2,3.75,Clustered,4,0.66359649,FALSE,0,29fed5df516c8cc02c8cd7a17704d5a2,760,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__,0.38888889
872,5.11052632,0.0317173,0.19567456,0,0.759107595,4,10,FALSE,Fungi,be090d0affdb948e0ecc9b365ff2c00c,3.25,Clustered,4,0.65745614,FALSE,0,be090d0affdb948e0ecc9b365ff2c00c,1998,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium,0.25
152,4.87894737,0.01129164,0.20496224,0.33333333,0.999976676,4,9,FALSE,Bacteria,3ff96bf2e11d76b94130d7b02154805d,5,Clustered,4,0.67675439,FALSE,0,3ff96bf2e11d76b94130d7b02154805d,980,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__,0.36538462
462,4.94210526,0.02188702,0.20234292,0.16666667,0.999999984,4,9,FALSE,Bacteria,a70a3c1efe0517c9797441d2a37d8321,4.25,,4,0.67149123,FALSE,0,a70a3c1efe0517c9797441d2a37d8321,1458,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Aquicella; s__,0.3125
