SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,NumberOfUndirectedEdges,NumChildren,NumDescendents,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
150,4.84649123,0.01653504,0.20633484,0.16666667,0.994825855,4,9,FALSE,Bacteria,e0fb2ba73f3950427afa72947668c71e,3.75,Clustered,4,0,,,0,0.65031898,FALSE,0,e0fb2ba73f3950427afa72947668c71e,1498,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,0.29545455
838,4.50438596,0.04301072,0.22200584,0.1,0.981554151,5,8,FALSE,Fungi,b2161ed6398e721bd35c10f0b7b32497,4.2,Clustered,5,0,,,0,0.68141946,FALSE,0,b2161ed6398e721bd35c10f0b7b32497,4594,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_tamarii,0.24
863,4.46052632,0.02439614,0.22418879,0,0.998358934,3,7,FALSE,Fungi,999fd72403c99e1a45e89ae9f56d8f4f,4.66666667,Clustered,3,0,,,0,0.6854067,FALSE,0,999fd72403c99e1a45e89ae9f56d8f4f,2340,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Stephanosporaceae,0.33333333
89,4.66666667,0.01880692,0.21428571,0.16666667,0.999599201,4,9,FALSE,Bacteria,9403c83b81d7dae0d54104bd1165423d,4.25,Clustered,4,0,,,0,0.66666667,FALSE,0,9403c83b81d7dae0d54104bd1165423d,1738,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,0.28846154
91,4.54824561,0.02187432,0.219865,0.2,0.999491487,5,9,FALSE,Bacteria,8c78a43745377754c177a37fadd42195,4.4,Clustered,5,0,,,0,0.67743222,FALSE,0,8c78a43745377754c177a37fadd42195,2160,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,0.24705882
196,4.45175439,0.0391786,0.22463054,0.1,0.999994681,5,8,FALSE,Bacteria,febf1d84f95da418efc85744696182c4,4.4,Clustered,5,0,,,0,0.68620415,FALSE,0,febf1d84f95da418efc85744696182c4,4016,k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,0.22352941
1798,4.61842105,0.03880581,0.21652422,0,0.98316193,5,9,FALSE,Fungi,2a4fdbf17a475f1139ec2b9bbd822025,3.6,,5,0,,,0,0.67105263,FALSE,0,2a4fdbf17a475f1139ec2b9bbd822025,3232,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Basidioascus;s__Basidioascus_undulatus,0.2
666,5.46491228,0.00334733,0.18298555,0,0.99999894,2,10,FALSE,Bacteria,fcd5997cec5575d23f364f4b570c4b76,3,,2,0,,,0,0.59409888,FALSE,0,fcd5997cec5575d23f364f4b570c4b76,374,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__,0.5
667,5.37280702,0.00375027,0.18612245,0,0.99999897,2,10,FALSE,Bacteria,35c7070eaf4605c21623daf9df1169af,3.5,,2,0,,,0,0.60247209,FALSE,0,35c7070eaf4605c21623daf9df1169af,382,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__,0.5
929,4.45614035,0.03561193,0.22440945,0.1,0.999992878,5,7,FALSE,Fungi,66b18a6fa9ddbc2b03d896d9f5db211d,4.2,,5,0,,,0,0.68580542,FALSE,0,66b18a6fa9ddbc2b03d896d9f5db211d,3512,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__unidentified,0.225
163,4.97807018,0.01181568,0.20088106,0,0.999778095,4,9,FALSE,Bacteria,8af2312c3c3f8b911d884d1aaeaeda24,3.25,Clustered,4,0,,,0,0.63835726,FALSE,0,8af2312c3c3f8b911d884d1aaeaeda24,1518,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,0.28125
165,4.76315789,0.01797568,0.20994475,0,0.999773376,4,8,FALSE,Bacteria,743b8d235ac41c603b7bde91da7b9d7c,3.75,Clustered,4,0,,,0,0.65789474,FALSE,0,743b8d235ac41c603b7bde91da7b9d7c,2168,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,0.275
957,4.54824561,0.02578225,0.219865,0.2,0.83446072,5,8,FALSE,Fungi,eabca7f74185ffe64a86e6ff2688dcfc,4,Clustered,5,0,,,0,0.67743222,FALSE,0,eabca7f74185ffe64a86e6ff2688dcfc,2562,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_macrospinosa,0.25714286
114,4.89035088,0.01275938,0.2044843,0,1,3,8,FALSE,Bacteria,66af9e9cd9ad7175d21a4f5e68ea957e,3,Clustered,3,0,,,0,0.64633174,FALSE,0,66af9e9cd9ad7175d21a4f5e68ea957e,1150,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__; s__,0.33333333
