SampleID	2.A.2	2.A.4	2.A.5	2.B.3	2.B.4	2.B.6	2.C.2	2.C.5	2.C.6	3.A.2	3.A.4	3.A.5	3.B.3	3.B.4	3.B.6	3.C.2	3.C.5	3.C.6
659449829575648b6a6e8b393954d691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
1fb10cb677a1ea8ee856fc5652ca984f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3f8a7aeeb113a75dcd2c6a89385e47ec	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f3cc337cec87f25978062881cf279b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c9ec98a47adff4bc100bf9ed1f1eebb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ed484a1a3e3c3ee2b6b6e20c9975438f	14	17	20	90	0	0	18	47	16	0	0	0	0	26	0	0	0	0
7fe515db34b826d689785faebbb1c92b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fe8b343149bf52919412966ce69273b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
09a1894c6fdb456a98477aaa5e2c5ece	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b679c02262280efd2453238ed31eaba9	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0
9dd9e41281639c3591bb23aa07312e58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00b8b758aafcdaa0990a8bfb43db1feb	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d6b498f4ace4679a63a414aa50bfabd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b34e22c008ded8594355ca261cefff43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8f5d1d0dc2beb55fbdbbfdddddf3f82	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25ccbd688f3a9a64cc36b9597dbcc8c7	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0
5a01ea8e5dd3150c8bb410f408456272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290529a38c2d569de2ce95ce83f233fb	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
d06a01fe06a952fb352cf1f8ecd6e2e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e2421fe61a59cfa94483905614c2cc9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e6d8361ba81c33169bfef2146941438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
de3048e12d98e55a5731bd5585aa2466	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
bb5dc2183712ce3300059dcc83e2e794	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
a2e45cb69f7f11261e8fa045bcb253e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15a21a60f19efece4dd09b4dc59bc095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e850c9743b18933315b15cb74a4c8d24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d5ad6adc97170892ebca68460098d756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bbb98d518bbc2242b32e6eafdf3ae10d	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
fd91f8ea5c851ce9d41f5ec5e0cd2fbd	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
aef4db708da5083d435de1d807f711e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410a21f7db625c45d98310f0faf2ef38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3a6497733d06b7c8598bdf9087978790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
8ccab0c4e5e754c6855bcb74156974ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84118133074c025868bfb2e26fd3b9f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2dec4d15b5bee0891e7efe4f46c997e7	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0
470fc1ab011cbc83efc2815190e68c96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
12dd3d19a19d4c3fc4f446fabaa4d9fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991d502ec991935a01690a9f59badfd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc14470a6a713c8f457851e0cea8ff57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c9cedd96346fb7399e11ec301d055dfc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0e20aca3396ee986e231f5d028dc933	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
e380efbb4bcb408a14f5ff62c647638b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0619f315cb9e58ab50e9de18621c0ee3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a79208d7d3a88fb4a440c10f564d99fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6b5488034913fa593c471cd07737b98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
